Domain	Phylum	Class	Order	Family	Genus	Segments(Nodes)	Links(Edges)	No. genomes	Ref
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alpha-05	252706	339119	6	GCA_900079695.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	7893	10217	15	GCF_003612565.1
Bacteria	Bacillota	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Alicyclobacillus_H	165	0	3	GCA_023511815.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76	59	0	9	GCA_910577955.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	Aliidiomarina	1802	2037	22	GCA_023481025.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	ALPHA2B	77883	103085	4	GCA_018241185.1
Bacteria	Elusimicrobiota	Elusimicrobia	2-02-FULL-39-32	2-02-FULL-39-32	2-01-FULL-60-11	129	0	3	GCA_001799975.1
Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacter	5915	7643	16	GCA_003446375.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	2-02-FULL-42-43	27	0	7	GCA_001802455.1
Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	785	919	12	GCA_007692455.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-39	2-02-FULL-62-17	514	0	4	GCA_903899705.1
Bacteria	Bacillota	Bacilli	Bacillales_H	Salisediminibacteriaceae	Alkalicoccus	38	0	8	GCF_000429725.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-39	2-02-FULL-66-14	22467	29904	5	GCA_001770475.1
Bacteria	Bacillota	Bacilli	Bacillales_H	Bacillaceae_D	Alkalihalobacillus	210	227	3	GCF_001590785.1
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	20CM-2-65-7	12610	16677	10	GCA_003221895.1
Bacteria	Bacillota	Bacilli	Bacillales_H	Bacillaceae_F	Alkalihalobacterium	232	190	3	GCF_017745675.1
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	20CM-4-69-16	240968	324978	5	GCA_003220795.1
Bacteria	Bacillota	Bacilli	Bacillales_H	Bacillaceae_D	Alkalihalophilus	301025	402049	3	GCF_000005825.2
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	CG1-02-35-72	22133	29427	3	GCA_013205245.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	2529773	3556538	26	GCF_000336555.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Alkalimarinus	34	0	4	GCA_913060665.1
Bacteria	Bacteroidota	Bacteroidia	AKYH767	2-12-FULL-35-15	2-12-FULL-35-15	358	0	25	GCA_903919535.1
Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	161682	215881	7	GCA_910579655.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-39	2-12-FULL-64-23	168729	226064	15	GCA_016234705.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	UBA3700	Alloclostridium	12487	16563	4	GCA_944380395.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales_A	2-12-FULL-67-15	2-12-FULL-67-15	12771	16670	3	GCA_001830475.1
Bacteria	Bacillota	Bacilli	Bacillales_H	Salisediminibacteriaceae	Alteribacter	3	0	5	GCF_002352765.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Halothiobacillales	Halothiobacillaceae	28-57-27	25997	34617	4	GCA_002281735.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altericroceibacterium	1316	1800	4	GCF_009827595.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	28-YEA-48	888	406	20	GCA_903903935.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Amphritea	477142	639626	15	GCA_016744155.1
Bacteria	Bacillota_A	Clostridia	Tissierellales	Dethiosulfatibacteraceae	38-11	9608	12378	3	GCA_019084435.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Succinivibrionaceae	Anaerobiospirillum	200848	268648	11	GCA_944390115.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Gallionellaceae	39-52-133	17	0	3	GCA_002278935.1
Bacteria	Bacillota	Bacilli	Bacillales_G	HB172195	Anaerobacillus	75078	100397	17	GCF_001866055.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	40-80	211	0	5	GCA_008017065.1
Bacteria	Bacillota_A	Clostridia	Tissierellales	Sporanaerobacteraceae	Anaerosalibacter	111511	148811	4	GCF_009696605.1
Archaea	Thermoproteota	Bathyarchaeia	40CM-2-53-6	40CM-2-53-6	40CM-2-53-6	174071	233721	19	GCA_005883075.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	1129	1500	20	GCF_900104675.1
Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	40CM-4-65-16	14429	19200	17	GCA_024280995.1
Bacteria	Pseudomonadota	Alphaproteobacteria	ATCC43930	Stellaceae	AP-15	226	0	14	GCA_945861155.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	41-12-T18	2542	3192	4	GCA_002400805.1
Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Anoxybacillus	202502	272472	18	GCF_000836725.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	41T-STBD-0c-01a	155	0	11	GCA_024639005.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-74	Aphodomonas	960	1003	3	GCA_934615235.1
Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Filifactoraceae	Acetoanaerobium	217680	290586	3	GCF_000196455.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Aquabacter	626089	837069	50	GCF_003993795.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Ketobacteraceae	42-54-T18	302	0	5	GCA_002402125.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aquibium	309606	413481	3	GCF_014495845.1
Bacteria	Bacillota	Bacilli	Izemoplasmatales	UBA5603	4572-104	54	0	5	GCA_002084435.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantibacter_A	10	0	3	GCF_009649685.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	50-400-T64	414	0	7	GCA_003646355.1
Archaea	Thermoproteota	Bathyarchaeia	B25	B25	B25	178	0	5	GCA_003662515.1
Bacteria	Pseudomonadota	Alphaproteobacteria	RF32	CAG-239	51-20	55	0	9	GCA_020025875.1
Bacteria	Bacillota	Bacilli	Bacillales_H	Bacillaceae_D	Bacillus_H	861798	1160768	11	GCF_002250115.1
Bacteria	Bacillota_A	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacter	548366	746136	61	GCF_001581005.1
Bacteria	Bacillota	Bacilli	Bacillales	DSM-1321	Bacillus_AI	17548	23286	3	GCF_002863585.1
Bacteria	Bacillota_A	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	2217	2079	13	GCA_022013395.1
Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae_C	Bacillus_A	4226241	6030261	88	GCF_001884135.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CHK158-818	58-81	40567	53914	4	GCA_001509095.1
Bacteria	Bacillota	Bacilli	Bacillales_H	Bacillaceae_F	Bacillus_AO	767602	1025126	3	GCF_022812285.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	62-47	18662	24624	8	GCA_020441545.1
Bacteria	Bacillota	Bacilli	Bacillales	DSM-18226	Bacillus_AZ	283	317	9	GCF_019749255.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	66-474	7026	9328	11	GCA_004299705.1
Bacteria	Bacillota	Bacilli	Bacillales	DSM-18226	Bacillus_BD	34985	46656	4	GCF_900104575.1
Bacteria	Synergistota	Synergistia	Synergistales	79-D21	79-D21	14634	19439	5	GCA_000402835.1
Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae_B	Bacillus_BM	648049	871487	5	GCF_008180415.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	AAA240-E13	152	136	7	GCA_003209225.1
Bacteria	Bacillota	Bacilli	Bacillales	DSM-1321	Bacillus_BN	96945	129272	3	GCF_010882125.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	AAA300-D14	34	0	3	GCA_902527245.1
Bacteria	Bacillota	Bacilli	Bacillales	SA4	Bacillus_BS	123074	164221	4	GCF_016890225.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	AAA536-G10	AAA536-G10	165321	223862	38	GCA_003283875.1
Bacteria	Bacillota	Bacilli	Bacillales	DSM-18226	Bacillus_BU	1	0	3	GCF_000242895.2
Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	788	1028	3	GCF_900604935.1
Bacteria	Bacillota	Bacilli	Bacillales	DSM-18226	Bacillus_D	12014	15919	8	GCF_001510665.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Accumulibacter	627102	845464	28	GCA_017592775.1
Bacteria	Bacillota	Bacilli	Bacillales	Aeribacillaceae	Bacillus	422911	576199	200	GCF_020524495.1
Bacteria	Synergistota	Synergistia	Synergistales	Acetomicrobiaceae	Acetomicrobium	9268	12171	6	GCA_002385485.1
Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus_P	1490585	2031545	5	GCF_023823795.1
Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	43	0	10	GCA_002399815.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	BACL11	BACL11	30	0	3	GCA_945865535.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Achromobacter	4401503	6377649	46	GCF_001428845.1
Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	6259	8325	7	GCF_000375465.1
Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Sulfolobaceae	Acidianus	68	0	8	GCF_000632495.1
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Belliella	231396	308809	8	GCF_000265405.1
Bacteria	Bacillota	Bacilli	Alicyclobacillales	Acidibacillaceae	Acidibacillus_A	134	0	3	GCF_003144315.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales_A	HTCC2089_A	Bin55	122	0	13	GCA_009845835.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Acidiferrobacter	6938	8652	14	GCA_021797365.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Bilifractor	75333	100548	23	GCA_903789595.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales_A	Acidihalobacteraceae	Acidihalobacter	96	88	4	GCF_000754095.2
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Bordetella_A	452668	605536	9	GCF_019218885.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Acerihabitans	188	0	6	GCA_005217455.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	298922	403724	123	GCA_013912065.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Acetanaerobacterium	268	234	10	GCA_023412215.1
Bacteria	Bacillota	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus_E	1	0	3	GCF_020923435.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	180	0	126	GCA_017559435.1
Bacteria	Bacillota	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus	1605	1790	36	GCF_000454065.1
Bacteria	Bacteroidota	UBA10030	UBA10030	UBA6906	CAADGV01	326525	435660	3	GCA_900696645.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	2751	3453	10	GCA_021849425.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	BRH-c0	861	811	5	GCA_023228865.1
Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	SAR86	AEGEAN-183	2802	3667	4	GCA_022447065.1
Bacteria	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	Bullifex	29102	38804	13	GCA_017478205.1
Bacteria	SZUA-79	SZUA-79	Acidulodesulfobacterales	Acidulodesulfobacteraceae	Acididesulfobacter	196167	264955	9	GCA_021794475.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	UBA11063	Aquella	66404	88131	15	GCA_019744945.1
Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Caccocola	56682	75228	4	GCA_018716365.1
Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	Aegiribacteria	39423	52333	8	GCA_023138735.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Caccousia	11015	14407	7	GCA_944383955.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Aequoribacter	1598	1797	4	GCA_023253715.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	CAG-1024	190	0	5	GCA_000432015.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aequorivita	79469	106576	23	GCF_001641085.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-1252	CAG-1252	8383	11054	12	GCA_002371075.1
Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	355753	474230	20	GCF_002884575.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-303	14681	19509	16	GCA_017412055.1
Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Acidilobaceae	Aeropyrum	262	261	4	GCF_000591035.1
Bacteria	Bacillota	Bacilli	ML615J-28	CAG-313	CAG-313	242174	323086	7	GCA_023665755.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aestuariibaculum	210151	282925	4	GCF_014596935.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-317	18	0	5	GCF_003435815.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	58	0	22	GCA_016185245.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	CAG-433	12	0	9	GCA_017634385.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aestuariivivens	1374	1888	4	GCF_022662175.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	CAG-41	12369	16483	24	GCA_910585485.1
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	AG11	40341	53707	5	GCA_003223455.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	CAG-448	204376	273113	36	GCA_017503325.1
Bacteria	Pseudomonadota	Alphaproteobacteria	HIMB59	GCA-002718135	AG-337-I02	612282	878749	105	GCA_902575815.1
Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-452	21633	29097	14	GCA_944392485.1
Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	AG-339-G14	AG-339-G14	43307	57735	13	GCA_902527995.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	Pumilibacteraceae	CAG-552	88	0	5	GCA_015055705.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	AG-414-E02	33080	44420	24	GCA_902567785.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	CAG-582	11	0	13	GCA_017626405.1
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	AG41	451551	608823	10	GCA_003222155.1
Bacteria	Bacillota	Bacilli	RFN20	CAG-288	CAG-56	355	0	10	GCA_905200565.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	AG-422-B15	AG-422-B15	413382	567787	43	GCA_902526565.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-590	44	0	27	GCA_934294885.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	AAA536-G10	AG-426-I14	57116	76077	3	GCA_003210055.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	CAG-611	6	0	4	GCA_934098705.1
Bacteria	Pseudomonadota	Alphaproteobacteria	MED-G09	MED-G09	AG-430-B22	244371	329504	7	GCA_003209955.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	CAG-628	9784	13007	6	GCA_934086775.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Celerinatantimonadaceae	Agarivorans	91496	122161	7	GCF_023238625.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-632	15835	20878	9	GCA_017460485.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	130563	174808	38	GCA_934365945.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	CAG-710	20	0	4	GCA_934183165.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	8033	10715	28	GCF_000701665.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	CAG-724	63832	85155	5	GCA_003524145.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Pasteurellaceae	Aggregatibacter	229195	308099	9	GCF_900636915.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-882	14543	19212	6	GCA_003486385.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Agitococcus	4816	6393	4	GCA_006546595.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-917	CAG-917	174945	233586	3	GCA_944332995.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	15680	22149	36	GCF_014851585.1
Bacteria	Pseudomonadota	Alphaproteobacteria	RF32	CAG-239	CAJLXD01	52662	70949	8	GCA_944393215.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ahrensia	13	0	3	GCF_000374465.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAJOIG01	84102	112667	11	GCA_021203045.1
Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Alangreenwoodia	1834	2249	4	GCA_944388495.1
Bacteria	Bacillota	Bacilli	RFN20	CAG-826	CAJOOD01	117	0	4	GCA_019421105.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albidovulum	196	0	15	GCA_020447005.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Deianiraeaceae	CAJQOT01	97	0	3	GCA_945861605.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	Albitalea	381	0	4	GCA_021153565.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	CAKSEI01	14641	19420	3	GCA_022791195.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Alcaligenes	2939522	4133108	10	GCF_003076515.1
Bacteria	Bacillota	Bacilli	RFN20	CAG-449	CALVJO01	55359	73713	3	GCA_944332525.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax_A	93983	125138	7	GCA_022565695.1
Bacteria	Bacillota	Bacilli	RFN20	DUOF01	CALVUJ01	26	0	3	GCA_944363575.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax	71313	96209	36	GCF_000009365.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	CALVVN01	38645	51709	6	GCA_944350305.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Algibacter_B	194	0	4	GCA_905480415.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	CALVVX01	60251	80864	7	GCA_944371525.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Algibacter	17165	22438	12	GCF_900112395.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CALXCT01	34794	46661	3	GCA_944386055.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Algicoccus	1	0	8	GCF_022811525.1
Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Caryophanon	9417	12533	3	GCF_001700315.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma	857	1039	4	GCF_009765865.1
Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	5	0	16	GCF_000744945.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	98988	132089	24	GCA_020723125.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Casimicrobiaceae	Casimicrobium	22	0	11	GCA_013298695.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella	2396	2414	26	GCA_021779655.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	Catenovulum	10101	13777	6	GCA_913056495.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	Acidovorax_A	1327104	1812325	13	GCA_002397315.1
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Chryseotalea	323	0	4	GCA_001464155.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	Acidovorax_C	3995	5120	4	GCF_001298675.1
Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_H	733965	999267	8	GCF_900176615.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	Acidovorax	3924641	5672797	60	GCF_019218755.1
Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_AR	1001271	1350205	7	GCA_024341905.1
Archaea	Thermoplasmatota	Thermoplasmata	Aciduliprofundales	Aciduliprofundaceae	Aciduliprofundum	14588	19230	3	GCA_015523135.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Collimonas	1142449	1566408	14	GCF_900112135.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Nevskiales	Algiphilaceae	Algiphilus	5855	7738	3	GCA_023145115.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Competibacterales	Competibacteraceae	Competibacter_A	118	0	9	GCA_903882995.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Acidimangrovimonas	267750	357352	3	GCA_913064775.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	Coprovivens	137	0	15	GCA_900552975.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Algorimicrobium	733091	994986	6	GCF_008086165.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Corticibacterium	489968	652388	4	GCF_018457165.1
Bacteria	SZUA-79	SZUA-79	Acidulodesulfobacterales	Acidulodesulfobacteraceae	Acidulodesulfobacterium	4885	6466	29	GCA_023381755.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	CTSOIL-112	161	0	3	GCA_017986195.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	3057008	4508055	173	GCF_000369005.1
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	172606-1	Cytophaga	1	0	3	GCF_000014145.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Pasteurellaceae	Actinobacillus_B	233	211	3	GCF_002263215.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Donghicola	2893	3820	3	GCF_003003355.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Pasteurellaceae	Actinobacillus_C	53	2	5	GCA_020026075.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-41	DSOT01	491	0	4	GCA_016202565.1
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus	954184	1274441	58	GCF_900129785.1
